Time,Estimation_0,Estimation_1,Estimation_2,Estimation_3,Estimation_4,Estimation_5,Estimation_6,Estimation_7,Estimation_8,Estimation_9,Estimation_10,Estimation_11,Estimation_12,Estimation_13,Estimation_14,Estimation_15,Estimation_16,Estimation_17,Estimation_18,Estimation_19,Estimation_20,Estimation_21,Estimation_22,Estimation_23,Estimation_24,Estimation_25,Estimation_26,Estimation_27,Estimation_28,Estimation_29,Estimation_30,Estimation_31,Estimation_32,Estimation_33,Estimation_34,Estimation_35,Estimation_36,Estimation_37,Estimation_38,Estimation_39,Estimation_40,Estimation_41,Estimation_42,Estimation_43,Estimation_44,Estimation_45,Estimation_46,Estimation_47,Estimation_48,Estimation_49
0,1613302.2245443477,1633338.638838261,1624983.5168208696,1608312.423393913,1624219.9797808696,1622974.0465208695,1623956.239,1624883.58018,1621836.3093269565,1622507.405953913,1618365.3549069564,1628689.2307904349,1631571.0949878262,1638715.338684348,1628727.7650191304,1632552.7815304347,1623204.7971565218,1624033.1017452173,1624378.5819634784,1630994.6815060868,1623510.646146087,1620129.6082182608,1623659.89776,1631260.8225226088,1613984.5662930436,1632787.4473330434,1624411.1462504347,1625555.6841504348,1622054.9733591303,1626288.1158982608,1623719.9927895651,1630203.2884365218,1617541.0053304348,1620069.7140547826,1629501.5807591304,1628819.8856095653,1626511.6432669566,1630634.4124608696,1624214.2437304347,1624033.161704348,1626033.7787069564,1617082.9088530436,1621911.463404348,1627311.6562991305,1620667.7880608696,1629633.4830104348,1621458.9126243477,1622587.204173913,1628229.0820730436,1615918.1760373914
1,1963360.0642634782,1947115.4933765219,1937546.8759208696,1960204.6937886956,1946574.9079113044,1948802.58772,1944186.2208626086,1946436.9976086956,1944672.700370435,1962599.5959504347,1945544.0100391305,1950264.8297991306,1950393.8080478262,1945201.7456973912,1951669.6968547825,1943280.4800791305,1955452.097853913,1956706.995601739,1941106.2904817392,1947320.0596113044,1954243.5759443478,1941202.379692174,1955486.9370965217,1950818.049378261,1941967.4294304347,1967212.7474913043,1928390.2597147827,1939222.4094356522,1952393.7687808697,1934358.9046704348,1955250.2146008695,1945646.6980582608,1952641.568932174,1944112.9096826087,1943489.1759791304,1953824.2343252173,1954169.7869147826,1951010.7421243477,1954611.3724,1942959.322146087,1952304.4648695653,1951852.319987826,1947030.0776434783,1946176.6860626086,1953245.205926087,1943954.3501182608,1936073.6989617392,1956822.8495026086,1943206.8115008695,1951627.169353913
2,1639090.8332426087,1639859.3825582608,1634206.564627826,1630156.0847565217,1642650.6911652174,1642024.2499017392,1638502.511561739,1648081.4556217392,1638804.6239686958,1632633.1773886958,1641573.330347826,1641174.3955156521,1644835.2741826086,1631409.6707365217,1636095.7610182608,1634022.9441956521,1630026.2484391304,1649264.3673547825,1643731.59516,1622851.309144348,1638007.027967826,1632747.0522913043,1639759.1274295652,1638904.5239426086,1643308.4046373912,1635265.7218652174,1637528.6649617392,1635551.1989669565,1645804.6042947825,1640788.8738208695,1632645.072827826,1633645.1162234782,1640387.5156565218,1635150.3601921739,1644530.6188226086,1637575.7343947827,1636520.1698130434,1631725.6956895653,1639744.159607826,1652768.2645365219,1629284.6159965217,1631691.8557104347,1643061.5277695651,1631130.3294243477,1631274.3429486956,1638829.6456365217,1631043.6996547827,1632181.4268382608,1628125.4701147827,1639739.3016304348
3,1407632.6120026086,1420154.337861739,1418664.8803634783,1419740.9254286957,1422710.3931147826,1412425.892815652,1405843.7969034782,1408467.011855652,1409692.2381113044,1429069.3148634783,1408672.1387469566,1399729.7027695652,1421294.7951234782,1411257.6530426086,1412554.2758521738,1409534.1270991305,1410306.2926008697,1416923.9330991304,1424916.9121947826,1416471.4412365218,1416700.5589678262,1411044.7532321739,1419687.201821739,1416276.9042252174,1419427.3288130434,1418993.9457817392,1415386.7888095651,1408408.471386087,1408881.68828,1403948.06584,1413225.9048626088,1411914.541386087,1417760.4513052173,1422504.0959208696,1408395.8574652174,1412639.2177313042,1419135.5096686957,1416223.5563104348,1425391.0567808696,1411321.1810713043,1419621.2519721738,1407479.825833913,1403962.7412721738,1423347.9175330435,1423197.1495513043,1411276.5930130435,1415536.162212174,1408039.1784373913,1410588.8168113043,1416063.6033834782
4,1215439.778506087,1227822.8192130434,1215457.9037947827,1227451.9386426087,1220430.6321904347,1231528.35444,1214538.9010226086,1224527.6856973914,1209960.9792973914,1218094.540878261,1213030.583706087,1220554.2259565217,1216517.0068904348,1223455.5853843477,1222155.790681739,1209873.154633913,1213166.43298,1209101.8908086957,1205106.5918582608,1212457.7131147825,1218550.9457113044,1217119.1196556522,1216270.603733913,1213015.8452026087,1220106.3414165217,1223852.598852174,1215264.7165034784,1211947.1642626086,1213943.1698547825,1226376.4911408694,1222134.0098973913,1212213.5704156521,1219734.4714069564,1210038.5304626087,1221903.9958095653,1220665.3340886957,1209609.6668843478,1227334.9171573913,1212519.1274269565,1207220.8642713043,1217650.698546087,1202123.8330373913,1232395.9395234783,1223348.4351086956,1222049.9136878261,1216568.7786704348,1215087.8171591305,1212987.5856947827,1225900.355921739,1219049.3645052174
5,1049549.7567750434,1047875.1572427826,1060663.1974212173,1040035.4108888695,1050686.4905222608,1052840.2253144349,1048718.040763739,1043345.6821775652,1050804.9965264348,1049471.5009975652,1047305.9139758261,1055471.679242174,1052809.2529787826,1044972.4361296522,1046233.1083222609,1040068.3791876521,1044998.9387082609,1040989.6138926087,1048816.7836643478,1045663.772881913,1044095.2706334783,1057691.0001309565,1046041.9749662608,1051049.6725316523,1057328.300855739,1051944.863281652,1052611.5736015653,1046938.3994753044,1048284.6499485218,1051416.1643667826,1052183.0888259131,1044069.1232202608,1044352.8497454782,1052614.3805290435,1033895.647899913,1049509.1516350436,1041452.0625833913,1051591.7161844347,1050322.7953351305,1053553.0016375652,1055655.2922843478,1046598.3635271305,1050801.6128409565,1059562.31834,1062322.8030980001,1047802.0772619131,1042834.3159213914,1041051.2947629566,1050003.2156590435,1043113.906294
6,906028.0223784348,899596.3932926087,904908.0460856522,902362.0817568696,895354.1282354783,903846.6815687827,910472.9218356522,905680.7432906086,907048.9311509565,901488.8607909565,912883.9400547827,917756.1283771305,898068.076906174,909146.1431085217,910757.6640093913,906774.5538544348,910779.964799913,897273.6561960869,904668.5461424348,901187.4908906956,908120.667802,904815.2632946956,899067.8227228696,905044.971343826,914873.8661849565,905979.9595183479,902399.714131913,906153.7046789565,911031.4386410435,903623.2116990435,901346.6860809565,907011.6046073913,908537.0865093044,904428.6343197392,911865.9094366087,898215.0098816522,895029.4766134783,906998.2731308696,905166.9020450435,904181.4313123479,899363.1053370435,899257.774558087,899767.2181135652,905885.5889369565,893839.0383327826,900457.1787143479,907512.8964306087,902438.3258223478,902913.9614650435,907652.3438123479
7,784222.9791934782,784065.115954087,787123.5561579131,779927.4579154783,775817.6273695652,782334.6402711305,778043.8916657391,792168.6167901739,779426.2167414783,779991.1556908695,781318.3147653043,773728.1327812173,783357.6827132173,775975.3055966956,780761.9145345218,776817.8998262609,781633.1783855652,780736.6840744348,782668.9182053043,778229.314377826,785591.347564,776889.707545913,790954.7655386087,784574.2278665217,770471.3088708696,780963.9169119131,772994.1195421739,775808.0658957391,777556.4643565217,785888.992502,789052.3031535653,776721.2914373043,783830.830668,777645.5941417392,778285.1951455652,779263.7692622609,779528.3479042609,771656.9108102609,776310.7885727827,780999.7595746086,782527.7574823478,778401.8555366957,779855.9204340869,779135.3310412174,782514.8483180869,782668.0313543478,778615.6171226087,786705.3124394782,774784.1961012174,776354.1010853044
8,671364.5328452174,672302.3678776522,665250.5059951304,670214.01775,666737.1689723479,663337.0643113044,669367.0393831304,680133.7513089565,679098.0529016522,674643.9166420869,671753.8322169565,673578.1229231304,669126.8285646957,673072.6396761739,678125.7188888695,678173.9503726957,673877.8507286087,672770.1863816521,666580.8466583479,673144.5997431304,669686.4351151304,674185.4223593913,671564.5893802609,668945.8630291304,682590.0771926957,665744.2625180869,672004.5849368696,670761.5407339131,672976.5773853913,669777.5721988695,670500.9726197391,673066.4771548696,676249.6348025218,675871.8605315653,666871.2593969565,676684.8636921739,667914.7830871304,672101.7481633913,667346.7797048696,671784.0346347826,674409.5477169565,678662.9200575652,673988.6131802609,666140.1119462609,671299.5412658261,670232.6184247826,667637.2609031304,685705.8689215652,672856.9714976521,673423.1851101739
9,581760.6189682608,574224.1135778261,574589.3665669565,582678.6350955652,582154.4883496522,580263.4120890435,577453.801876087,585641.1630681739,584544.0851785217,588088.3857464348,580905.4034947826,582992.8111070435,583579.0005223479,589165.3310489565,586466.8348875652,581435.9173554783,586896.8490225218,584588.2624446087,584487.3369676522,583535.851996087,581243.6075302609,581225.2499253043,581951.0910413912,581410.7178587826,585142.1744993913,577710.2779351304,578836.8802261739,580065.4610353913,577377.6491296522,577634.6154708696,581735.0483774783,588804.988264087,575618.35159,584476.5105644348,585936.8992375652,578700.6402969565,583681.91512,575247.434494174,576584.2044992174,582343.1373923478,585029.7175050435,578435.2745854782,585838.4888691305,577766.3360645217,580886.6058616522,586038.6365142609,583416.0705542609,582731.3361152174,581863.300642,582292.5158665217
10,503587.00047591305,505015.0603432174,503411.65100947826,494857.1296789565,503015.5499752174,491058.5152825217,501982.4711161739,499011.88236469566,507388.01541869564,505129.08928043477,502624.93094573915,507715.8567503478,504689.163674,508662.8629235652,504702.4012469565,501244.3045084348,496836.3369292174,499879.7610013913,499332.35895669565,499372.8842970435,502150.889624,500215.9613267826,500004.36481426086,503143.8527709565,504687.3547652174,505433.4398610435,504525.5240989565,500115.7189577391,503582.19526304345,505250.4833706087,500940.31171,507396.78655252175,502089.4628149565,502792.51353652176,501433.47494313045,502959.9460958261,495992.86906686955,501704.42837782606,500732.1129432174,501177.63154286955,503067.2718935652,503354.285974,505451.51275217393,503731.32840886957,501894.60138843476,498892.36083747825,509012.2352907826,508393.34227591305,497797.7647575652,498254.3915346087
11,436086.3434215652,432990.00760426087,429980.4307011304,433997.2416404348,436972.92073530436,433972.1269353913,433383.4390406087,429930.50221765216,435448.2435550435,430305.8212067826,437519.18295130436,432805.9942308696,431453.9126130435,432705.4519071304,433329.2541204348,428350.8046277391,427690.1589962609,437102.30252469564,434552.15559156524,438433.17963591305,431298.92316660867,434496.8707756522,433612.09225756524,434486.5450001739,428029.6432058261,431179.7257773043,427433.58736069564,435377.2134986087,436266.27721313044,428252.4168784348,435276.32894408697,432083.9210761739,434894.1022962609,439121.50628130435,432525.50937782606,438317.8790091304,435326.34871452174,432973.11505313043,433174.82550269563,436116.9803710435,432904.6900186087,431748.3945865217,437319.35054513044,430128.42204330437,431596.2410678261,433843.56441452174,430735.691132,434552.40306130436,434992.75609965215,432834.2053991304
12,372030.2842177391,373204.15520086954,376608.3980372174,374591.5985137391,370035.8035971304,374639.3109353043,370673.37499286956,374538.3298481739,373102.69177730434,372714.3431407826,373351.31543130433,371530.85731295653,374945.4188705217,376094.2432195652,371926.70877982606,376508.99657173915,371499.924178,373247.7571092174,377414.62810495653,368235.0365376522,373904.35801730433,378958.35814,376597.4092458261,377785.1951613043,372739.7989072174,377903.5545406087,370796.80090565217,371373.2895277391,370208.2084575652,369264.4328703478,373913.7336412174,377590.4496018261,375018.59544530435,378993.8562303478,372400.0289524348,377906.44573286956,373326.6420733913,376075.90390495653,371086.9189872174,372955.20591669565,380829.557362,377012.6924266087,378967.4608852174,374226.4898404348,372536.6172075652,371829.70821191306,374898.1149805217,371766.72772486956,375167.76931886957,367248.76518834784
