Time,Estimation_0,Estimation_1,Estimation_2,Estimation_3,Estimation_4,Estimation_5,Estimation_6,Estimation_7,Estimation_8,Estimation_9,Estimation_10,Estimation_11,Estimation_12,Estimation_13,Estimation_14,Estimation_15,Estimation_16,Estimation_17,Estimation_18,Estimation_19,Estimation_20,Estimation_21,Estimation_22,Estimation_23,Estimation_24,Estimation_25,Estimation_26,Estimation_27,Estimation_28,Estimation_29,Estimation_30,Estimation_31,Estimation_32,Estimation_33,Estimation_34,Estimation_35,Estimation_36,Estimation_37,Estimation_38,Estimation_39,Estimation_40,Estimation_41,Estimation_42,Estimation_43,Estimation_44,Estimation_45,Estimation_46,Estimation_47,Estimation_48,Estimation_49,Estimation_50,Estimation_51,Estimation_52,Estimation_53,Estimation_54,Estimation_55,Estimation_56,Estimation_57,Estimation_58,Estimation_59,Estimation_60,Estimation_61,Estimation_62,Estimation_63,Estimation_64,Estimation_65,Estimation_66,Estimation_67,Estimation_68,Estimation_69,Estimation_70,Estimation_71,Estimation_72,Estimation_73,Estimation_74,Estimation_75,Estimation_76,Estimation_77,Estimation_78,Estimation_79,Estimation_80,Estimation_81,Estimation_82,Estimation_83,Estimation_84,Estimation_85,Estimation_86,Estimation_87,Estimation_88,Estimation_89,Estimation_90,Estimation_91,Estimation_92,Estimation_93,Estimation_94,Estimation_95,Estimation_96,Estimation_97,Estimation_98,Estimation_99
0,1625998.1201843477,1621527.614953913,1630422.1768,1612602.4499,1622974.4293452173,1623793.3842643478,1622222.729873913,1626006.1043104348,1632095.6871234782,1623870.0194686956,1626276.2198652173,1619335.5148765217,1625231.7815304347,1610850.9002295653,1631391.7384852173,1628271.5363860868,1630904.1014373912,1624747.2497773913,1622925.5976043479,1621393.261867826,1627228.6675026086,1624563.466907826,1619139.2866773913,1624591.146032174,1621311.3113234784,1620548.2444634782,1617637.9712443477,1626157.3172765218,1607038.1069008696,1622360.4494330434,1615376.902847826,1619954.2771852175,1622730.2915234782,1619569.370026087,1615346.9443686956,1621224.3311817392,1632640.0401695652,1631650.8603,1626241.912046087,1622089.931332174,1630976.8833208696,1619147.1887773913,1629594.2659713044,1619891.4566130436,1632365.3699191303,1623995.0841704349,1613386.2790547826,1623207.5875878262,1624602.02802,1615829.3178843479,1619002.977426087,1621579.6791582608,1625828.3075226087,1623674.0690252173,1623695.695944348,1617907.4450886957,1634082.4293608696,1617522.4580147825,1631574.209221739,1629267.314864348,1625445.9489060869,1616325.683013913,1622340.8399765217,1629650.3872252174,1625091.2337408694,1633463.3967043478,1612762.0058573913,1624134.7133982608,1627140.842504348,1619613.5741417392,1624362.4064356522,1624329.5588678261,1625705.199406087,1630916.8118347826,1620586.98624,1626015.0618304347,1631524.8480713044,1631701.7753573912,1634820.346035652,1615879.2560982609,1616423.1642382608,1635288.3338704347,1619636.4451652174,1630622.6441460869,1619199.0867226087,1629903.6695408695,1618889.3867808697,1630625.8301556522,1635537.8165591303,1610567.9788843477,1613318.4973269566,1627545.16128,1629344.5963278261,1636170.0030669565,1623181.8839304347,1614550.4482965218,1615391.0553147825,1616590.7426643479,1618110.5293234782,1624889.2880104347
1,1949595.6235895653,1950328.778352174,1952838.2972669564,1946571.832513913,1951234.9237330435,1950136.5025052174,1947523.2953295652,1950130.0152078262,1942191.192567826,1968838.647106087,1949936.4315069565,1948338.6592643477,1943702.1994452174,1943220.5054973913,1961208.3408808697,1954825.1100373913,1937598.4706095653,1955499.1617208696,1947862.8168834783,1952213.3238626088,1943346.8005182608,1951666.0822391305,1949597.63466,1959943.1760234782,1949168.2650069564,1947853.7371191303,1935543.154706087,1946386.643618261,1950399.8580695651,1956730.4514565216,1947020.7561834783,1956256.1402217392,1950008.428506087,1949106.2570095651,1944397.482584348,1957040.8074947826,1941471.6047556521,1945785.1491678262,1944763.1204617391,1947240.391461739,1954748.0527713043,1949987.7161930434,1940549.2529182609,1958002.989644348,1943667.1584704348,1950353.0343426086,1956109.7531286958,1955622.8905843478,1941275.8952686957,1955882.9992043478,1945241.1863652174,1944358.3933695653,1960393.4443408696,1941292.419532174,1949579.1377495653,1942158.7922834782,1943916.7490730435,1952986.8991721738,1941288.5552626087,1956338.4920991305,1954711.2694191304,1948856.7675191304,1952458.4905452174,1948301.13186,1940598.4392713043,1936087.0180765218,1937966.4668652173,1946432.2252452173,1940498.7328973913,1938059.3433252175,1950299.0809808695,1943725.9145173912,1949477.6648086957,1941332.154006087,1941236.9743965217,1947507.1255530436,1957943.4285347825,1943761.4600469565,1944900.6498608696,1949066.8049443478,1951539.3542208695,1951494.8589434782,1956364.5632521738,1948077.3157026088,1957525.281298261,1948874.9766304349,1946853.6646843478,1942747.972973913,1945171.8832886957,1947776.525190435,1952090.7559626086,1948075.6817730435,1945295.5719886958,1941574.8772634782,1945834.5272182608,1944595.6348156522,1943391.949584348,1953298.513935652,1938638.5062269566,1955176.6256208695
2,1632441.505733913,1642365.71916,1633395.15316,1640843.7258286956,1632394.4344173912,1638664.8493904348,1647193.620907826,1662137.6951547826,1638897.3813078261,1636332.4294347826,1638314.562770435,1639912.099227826,1632294.8222982609,1639094.7250365217,1639595.918170435,1624413.472952174,1644424.3436113044,1639343.5825686958,1642876.4901973912,1642847.9383608697,1637263.7223852174,1643542.7593843478,1643369.4160852174,1634574.114853913,1650770.909732174,1631762.199938261,1636159.336181739,1639890.9638365218,1622750.7023191305,1639362.1526286956,1636966.9180052173,1645946.7738408695,1631527.3139765218,1647714.6631286957,1633084.41756,1630881.442266087,1626754.3987173913,1634170.6102495652,1641543.521398261,1649247.3218669565,1639473.1231504348,1642285.40536,1636816.2765608695,1640079.5640452174,1641121.838773913,1640112.0431,1637050.4762973913,1641681.6148573912,1641322.5833573914,1624340.937793913,1643799.603895652,1645870.8476,1633101.7364634783,1637647.5120973913,1640661.931847826,1633549.8992191304,1632119.8217113044,1632181.9983313044,1642877.1568034783,1636696.5158295652,1643113.5372495651,1633865.8688304347,1639771.8222260869,1633135.4511513044,1645677.12402,1627552.4036034783,1643927.0613730436,1635759.0554434783,1636003.7659930435,1637904.921955652,1634080.4406973913,1635742.1825486957,1635628.0479565216,1630979.7103634782,1640050.7179208696,1618261.9321913044,1646516.6901495652,1637700.792153913,1635177.0357295652,1635618.7331373913,1631480.0757478261,1640546.57464,1632236.406395652,1636689.5783156522,1639195.715227826,1631907.5922626087,1644666.557853913,1647079.9662973913,1647725.8986956521,1632673.0643504348,1640096.67178,1628277.5085791305,1640214.7491182608,1634469.0070373914,1634806.6567869566,1631697.661484348,1628393.9395486957,1649584.9867695651,1624555.4893069565,1638397.7473173912
3,1408415.6657521739,1429092.7172069566,1413128.4661878261,1420556.5946808695,1408106.4379895653,1408784.9438904347,1411767.7933834782,1405889.1402226086,1416030.7834808696,1414021.7747791305,1421141.4373895652,1404765.4446008697,1424717.5908765218,1414413.4442826086,1409638.2430173913,1418274.3483913043,1410726.6673782608,1410457.5825834782,1422996.10062,1414578.0764530434,1418078.6151286957,1409611.9633052174,1406175.4484347827,1405066.311538261,1417919.7174017392,1417657.5874834782,1412093.2374904347,1419600.9648834784,1412012.4833521738,1416147.8901452173,1405947.974027826,1416553.9817513044,1417179.3009730435,1424831.8425104348,1413775.258526087,1412628.72358,1418690.8058391304,1415268.0181234782,1416926.6713417391,1420740.246166087,1426033.2635208697,1419883.6099226086,1409883.8736730434,1411775.770147826,1421133.30116,1410861.2215895653,1426364.595901739,1419226.972778261,1424282.684858261,1422970.0797182608,1414671.5264634783,1412997.9469295652,1409357.9131086955,1407178.4903521738,1412072.1019747825,1415708.97874,1415748.68922,1415630.4437295652,1406143.1486573913,1415354.220698261,1406196.0043617391,1410407.7692573913,1418655.042241739,1400795.913707826,1412270.6973530434,1407905.2837356522,1410583.792661739,1413771.931333913,1413446.0899252174,1415604.5465295652,1408136.4962704347,1415191.974252174,1406175.4665930434,1406268.6900469565,1407427.4152234783,1413093.992158261,1425279.384898261,1400868.9029791304,1418524.70508,1426022.9299130435,1420124.1598304347,1407797.3127852173,1421194.1197826087,1425490.3373817392,1422616.4028843478,1416853.380301739,1410955.1650721738,1416054.8115486957,1413805.2808286957,1421560.29756,1408057.6206634783,1411767.7103330435,1414278.1670182608,1408926.830966087,1412301.1771113044,1422996.6797382608,1411487.8103634783,1417375.3015226086,1403385.6662565218,1411156.4440921738
4,1217929.928493913,1216306.729387826,1203799.5919965217,1217803.756047826,1221165.5179695652,1221718.5126904347,1218122.0696113044,1222071.5246026088,1229994.923892174,1225474.1397391304,1219148.2463521739,1220900.3400704348,1211706.7767078262,1206138.0686434782,1219988.1805973912,1221743.316206087,1225437.9919852174,1214154.5659043477,1214502.1170530436,1213871.2965452173,1212031.2852904347,1211314.0749643478,1219276.677726087,1214568.9440034782,1214692.6703226087,1222919.1313086955,1211453.0943608696,1225896.665004348,1217068.7747295653,1224294.7491069564,1218387.4792643478,1218577.7069034781,1213153.3465234782,1219751.4667130434,1211761.2885121738,1217283.0103834781,1224660.9830904347,1225666.006692174,1217376.3196626087,1205376.4235147827,1228472.8495530435,1215949.8206173913,1210945.6342069565,1213067.5058521738,1211357.300167826,1219215.6749469566,1211334.3443008696,1219557.8034347827,1212901.7391069566,1219653.4832,1214434.1698991305,1220144.5831704347,1224663.0954234782,1217660.700635652,1215103.5165556523,1225207.561532174,1223845.6688286955,1214497.5355504348,1221761.306287826,1212061.8280243478,1216508.7961782608,1218259.7004478262,1218950.1915391304,1219002.3932965216,1206662.2127286957,1223678.4685730434,1212177.7798252173,1228015.7095826087,1217879.592626087,1212939.814167826,1214123.112561739,1209048.8747634783,1222358.261904348,1218172.462232174,1205403.833053913,1216190.3319391303,1214205.2597104348,1221049.729347826,1220150.4919147827,1204469.0960191304,1216240.8540956522,1211370.9312660869,1215038.2462608695,1217292.7078834784,1215795.423858261,1210572.8760052174,1223617.6380252175,1219734.5007826088,1218282.957112174,1218948.9015452175,1218358.773355652,1217040.829233913,1217202.0638556522,1220312.85798,1219928.631315652,1214846.8612069564,1214867.5872521738,1225487.9333434782,1213795.7050008695,1216890.1438052175
5,1050126.8701686086,1046870.0830528695,1053165.0950343478,1051785.408622,1049746.212257652,1052985.1313256521,1052508.2004813044,1047531.1467913043,1054607.1660758262,1050998.9470793044,1042207.9944396522,1046982.8580916522,1050270.760169826,1049388.613862261,1041474.258531913,1053938.0766510435,1036694.2874482608,1051234.5169909566,1055180.7611176523,1043295.6366523479,1046635.1859027826,1045352.3734786956,1043745.4865751305,1049769.1939927826,1040389.2435837392,1047779.2001403478,1057852.174665739,1053509.068304,1042586.7952153913,1052576.1742226088,1042781.0331033043,1054898.3817047826,1049457.0007106957,1047693.4085507826,1058863.429564087,1044461.3710811305,1056106.4752566956,1050612.358491739,1043793.4385269565,1050710.010026087,1043304.8821640869,1047780.0360606087,1046847.6841617391,1034577.476344,1051706.7097704348,1052055.5858916522,1045086.7791404348,1054847.2515984348,1042134.3611833043,1040088.9425711305,1046833.558986087,1046748.5411397391,1049220.5525992175,1040815.9870352173,1040229.1039805218,1047251.2801296521,1059610.3517171305,1046784.7746288696,1048025.9657152174,1054579.5101454782,1051576.782882,1053864.7939110436,1046143.9785992174,1060841.555658174,1052176.8533808696,1048907.8773753042,1051286.9966985218,1050268.452475652,1055739.8218424348,1055921.9081067827,1047473.7317313043,1056490.2551632174,1049984.3252562608,1046667.1743973913,1050614.4618723479,1045664.1274553913,1046280.8264694783,1048817.9837326957,1050751.7765466087,1056867.5434326087,1052991.9051175653,1052624.763213913,1043183.7868571305,1045170.2017684348,1043463.450337826,1052538.757470087,1043789.399381826,1042188.8042048695,1043347.8315974782,1047979.8465171305,1056452.894379913,1044358.0287213913,1041269.8808270434,1037727.9826951304,1053032.8873990434,1040003.0249416522,1039762.6186433913,1056888.4024627826,1048950.860267913,1043994.3163573913
6,904058.2026981739,899096.1959829566,904247.1776028696,906806.8197241739,904526.410421913,909773.6433913913,901370.179508,901111.0331126087,885614.2197749565,903267.8470642609,898497.483228,904436.6309062609,903457.1186635653,911501.3224668696,904668.8611895653,906847.278680087,906317.206524,909978.1654664348,901679.6450506956,905528.8734313044,907871.550426,901839.2159646087,899836.3506333913,916003.8186108696,900454.7672246087,900988.9668114783,901328.7118670435,901003.9219706956,903343.7093663479,916001.1882555652,895063.6709647826,907299.6456214782,899948.7987895652,906430.2685798261,898044.2250832174,915042.3686715652,904568.5159550435,907980.6478723479,902518.3168098261,901411.733754,909482.794844174,901229.6704613913,918195.936716,895060.497661913,904998.0246852174,903025.5643351304,908204.0873147827,907035.3297766957,907322.8961193913,908292.7478605218,902892.1957854782,905833.9121754783,910018.403769913,896546.480276087,906132.315896,904713.6945809565,906330.1880634782,899068.7676691305,908374.380434,908887.781966,890967.2154125217,899435.1663686087,896227.9352601739,909536.7081286086,897181.7775746956,903071.5139717391,905687.5547457391,915132.4479401739,898534.9319938261,903833.5138226087,899810.6246210434,903462.2501488696,907979.5774046087,909467.802866087,903795.9265866088,899121.9773527826,906332.9653956522,903394.2396034782,906377.7212578261,903661.0600150435,904554.3663462609,903994.5859976521,901866.7077044348,899860.985356174,904291.5746443478,907390.2841168696,910953.994464087,898229.3223444348,901132.660041913,910896.5503166957,899120.868996,905188.1525056522,898029.3456256522,900525.613188,899350.309066087,910258.5869893914,894855.7465570435,903701.3542443478,906839.1173918261,905435.7000077391
7,779490.6017285218,777488.0008666957,773348.118394,783970.9693474782,786641.449674,781121.8944803479,780740.003636,781063.0023596522,787791.230162174,777737.6744623479,776369.9699424348,781231.3978638261,780458.2539684348,784952.79582,782352.5504768696,777133.6759784347,780910.1916080869,783595.567682,776804.6157568695,776050.2441916522,780097.7933043478,773121.3043193043,777413.5696864348,780014.5643253913,775154.437893826,775853.2877302609,774511.1294678261,783432.222838174,786126.9977842609,785208.1578065217,769946.8417486087,774732.7653448696,774028.8953788696,783562.6615485217,773920.087530087,772933.8974817392,786558.8367974783,775411.1055962609,783560.2612497391,775603.4555151304,780650.3366652174,787745.3930751304,778855.5210620869,768523.6623047827,783798.9045806087,771145.9686817392,780599.9475013913,783001.3902369565,778314.3761854783,780570.2254787827,780740.5590514783,769967.7104442609,789900.7114512174,777552.743957826,782887.2106123478,775995.0307038261,773119.1344760869,780924.1118085218,774298.3509106956,773999.3546705217,775671.9170230435,782299.6216423478,783489.7290833913,774441.2680092173,782056.5352561739,782783.853001913,784463.1460597392,789548.1111708696,776679.7449784348,781854.6665472174,789078.2416689565,791917.7281052175,784878.4413016522,775211.4515175652,777348.4778291305,785424.8620958261,784374.7053989565,782343.8853714783,782947.666576174,782144.8623353913,779152.5082781739,788896.0105404347,774024.8116711305,783980.3677473044,779420.3521309565,781256.0739091304,774392.1015986087,773063.376155913,779217.5391163478,777023.6155998261,780044.7675986087,785718.9921629565,788382.9024390435,778407.103598,772186.4256776521,784622.746423913,776748.1888756522,786629.2472466087,776636.4956454783,782773.7120008696
8,674835.456498,659038.8570072174,679476.8860722609,676662.7566811304,664755.2489827826,668741.4243367827,671894.0619589565,669701.324862,671927.2936105217,674551.0878491304,668827.2219972174,668347.9584791304,668740.3831996522,677360.6700479999,675914.2862565217,673706.0306471305,666383.0396871305,673930.0159693044,677775.2984332173,672195.632176087,671632.5144456521,670645.626670174,667614.8547115652,677980.837676,668305.0830506956,670344.6535583478,671981.5197416522,660098.5486688695,671018.569877826,664487.2032371304,660523.5992313913,679162.8261439131,678058.3127707826,672307.6671098261,672366.6330516522,665181.9293513043,668395.7835721739,673601.897209826,680370.9894748696,672410.1580931304,677262.362802174,672182.2618168696,672061.7277013044,680049.7242757392,670008.811672087,667314.7078131305,674735.8510596522,683331.2261538261,673849.6305466957,672334.0045076521,674725.5813266956,669903.6764334782,674955.636580087,673624.496550174,670659.8443497391,683936.205936,672703.3837978261,675250.0654387826,668905.9358791304,679222.1606854782,671211.7925186087,670040.0066734783,676523.8716270435,680764.3034422608,675855.3368226957,664516.167492174,674045.340744,672255.1302477391,672145.732383826,674494.5481144348,672155.04964,676226.4189686957,680478.8156153044,671570.5915272174,665647.504158,677204.3104945217,676650.6628677391,674659.902395913,675507.2852625217,676038.0152275652,677033.2413722608,679968.5142167826,673554.8312866087,673320.3819911304,669377.4999669566,672696.0329091304,672223.4336691304,676957.2081064348,675840.080606,665540.1344686087,674939.1493812174,667438.6752224348,672080.1066818261,674400.7380971304,668343.8186757391,672106.3358632174,667615.5870044348,667016.8896893912,677661.5622342608,667056.121203826
9,578202.8084721739,584185.4537598261,588568.9349621739,584994.3022652174,575015.2877386087,583562.6177944348,582817.726988,579644.7577827827,578901.887388,588183.3970585217,590392.3709037391,584538.7077237391,580358.8083043478,582035.0408193043,581145.6573825218,574374.511049913,571748.851820087,581899.126463913,580805.6969736522,576812.4191673913,579226.9937280869,584596.040375913,580717.3019614783,580576.6071973044,582723.1188386087,577450.4932401739,584197.9950411305,580235.9120773913,576099.0843458261,579175.6792724348,580519.9670604347,583458.696632087,585466.4080333913,581898.4123457391,572770.3654192174,580940.3282411305,588070.4335855652,578366.4924901739,576145.6568747826,579750.8939837391,583503.9738831305,582783.8420553913,579573.9249303478,580920.4444581739,585247.2061534782,587168.9594942608,584131.1945815652,584387.5576862609,578960.5958733044,581993.8195063479,578205.4082208696,587888.751017913,580492.662498,585908.668903826,588084.992694,583674.1404625217,576386.2466764348,585215.259084174,584944.8628267826,585277.7035984348,584178.6796826087,574803.7330793043,580914.0178673044,583058.2785866087,583332.8335859131,584684.7517129565,582605.5372897391,580172.7707979131,573631.9644756522,584474.3961105217,584661.0899541739,579182.7716326957,584710.1120178261,581602.4166412174,583916.4013473913,584763.8892482609,583234.4033173913,582737.8276806957,581566.4705981739,580455.9904971304,570246.3210543478,588205.3028553913,585870.07527,586840.7855271305,575393.3894893044,584383.777446174,583053.8143906957,576491.6289825217,577314.2716629566,583027.4702255653,586733.2929585217,584793.2555543479,581234.868577913,576704.9985692174,586204.0840333913,583808.5484744348,575953.9579246087,583251.2966853044,590134.8080144348,575880.7041136522
